date,entity,crimes2
2015-01-25,P-041,0.0
2015-01-25,P-113,0.0
2015-01-25,P-047,0.0
2015-01-25,P-049,0.0
2015-01-25,P-062,0.0
2015-01-25,P-045,0.0
2015-01-25,P-067,0.0
2015-01-25,P-104,0.0
2015-01-25,P-083,0.0
2015-01-25,P-094,0.0
2015-01-25,P-121,0.0
2015-01-25,P-005,0.0
2015-01-25,P-025,0.0
2015-01-25,P-046,0.0
2015-01-25,P-110,0.0
2015-01-25,P-061,0.0
2015-01-25,P-081,0.0
2015-01-25,P-105,0.0
2015-01-25,P-115,0.0
2015-01-25,P-107,0.0
2015-01-25,P-013,0.0
2015-01-25,P-020,0.0
2015-01-25,P-050,0.0
2015-01-25,P-079,0.0
2015-01-25,P-001,0.0
2015-01-25,P-006,0.0
2015-01-25,P-014,0.0
2015-01-25,P-072,0.0
2015-01-25,P-073,0.0
2015-01-25,P-048,0.0
2015-01-25,P-114,0.0
2015-01-25,P-122,0.0
2015-01-25,P-052,0.0
2015-01-25,P-078,0.0
2015-01-25,P-077,0.0
2015-01-25,P-026,0.0
2015-01-25,P-108,0.0
2015-01-25,P-070,0.0
2015-01-25,P-069,0.0
2015-01-25,P-120,0.0
2015-01-25,P-063,0.0
2015-01-25,P-071,0.0
2015-01-25,P-084,0.0
2015-01-25,P-009,0.0
2015-01-25,P-068,0.0
2015-01-25,P-076,0.0
2015-01-25,P-066,0.0
2015-01-25,P-017,0.0
2015-01-25,P-042,0.0
2015-01-25,P-088,0.0
2015-01-25,P-032,0.0
2015-01-25,P-060,0.0
2015-01-25,P-102,0.0
2015-01-25,P-028,0.0
2015-01-25,P-090,0.0
2015-01-25,P-112,0.0
2015-01-25,P-010,0.0
2015-01-25,P-106,0.0
2015-01-25,P-024,0.0
2015-01-25,P-101,0.0
2015-01-25,P-030,0.0
2015-01-25,P-033,0.0
2015-01-25,P-034,0.0
2015-01-25,P-111,0.0
2015-01-25,P-100,0.0
2015-01-25,P-123,0.0
2015-01-25,P-022,0.0
2015-01-26,P-018,0.0
2015-01-26,P-044,0.0
2015-01-26,P-075,0.0
2015-01-26,P-043,0.0
2015-01-26,P-040,1.4285714285714286
2015-01-26,P-109,1.4285714285714286
2015-01-26,P-007,0.0
2015-01-26,P-023,0.0
2015-01-26,P-103,0.0
2015-01-26,P-019,0.0
2015-01-26,P-041,0.0
2015-01-26,P-113,0.0
2015-01-26,P-047,0.0
2015-01-26,P-049,0.0
2015-01-26,P-062,0.0
2015-01-26,P-045,0.0
2015-01-26,P-067,0.0
2015-01-26,P-104,0.0
2015-01-26,P-083,0.0
2015-01-26,P-094,0.0
2015-01-26,P-121,0.0
2015-01-26,P-005,0.0
2015-01-26,P-025,0.0
2015-01-26,P-046,0.0
2015-01-26,P-110,0.0
2015-01-26,P-061,0.0
2015-01-26,P-081,0.0
2015-01-26,P-105,0.0
2015-01-26,P-115,0.0
2015-01-26,P-107,0.0
2015-01-26,P-013,0.0
2015-01-26,P-020,0.0
2015-01-26,P-050,0.0
2015-01-26,P-079,0.0
2015-01-26,P-001,0.0
2015-01-26,P-006,0.0
2015-01-26,P-014,0.0
2015-01-26,P-072,0.0
2015-01-26,P-073,0.0
2015-01-26,P-048,0.0
2015-01-26,P-114,0.0
2015-01-26,P-122,0.0
2015-01-26,P-052,0.0
2015-01-26,P-078,0.0
2015-01-26,P-077,0.0
2015-01-26,P-026,0.0
2015-01-26,P-108,0.0
2015-01-26,P-070,0.0
2015-01-26,P-069,0.0
2015-01-26,P-120,0.0
2015-01-26,P-063,0.0
2015-01-26,P-071,0.0
2015-01-26,P-084,0.0
2015-01-26,P-009,0.0
2015-01-26,P-068,0.0
2015-01-26,P-076,0.0
2015-01-26,P-066,0.0
2015-01-26,P-017,0.0
2015-01-26,P-042,0.0
2015-01-26,P-088,0.0
2015-01-26,P-032,0.0
2015-01-26,P-060,0.0
2015-01-26,P-102,0.0
2015-01-26,P-028,0.0
2015-01-26,P-090,0.0
2015-01-26,P-112,0.0
2015-01-26,P-010,0.0
2015-01-26,P-106,0.0
2015-01-26,P-024,0.0
2015-01-26,P-101,0.0
2015-01-26,P-030,0.0
2015-01-26,P-033,0.0
2015-01-26,P-034,0.0
2015-01-26,P-111,0.0
2015-01-26,P-100,0.0
2015-01-26,P-123,0.0
2015-01-26,P-022,0.0
2015-01-27,P-018,0.0
2015-01-27,P-044,0.0
2015-01-27,P-075,0.0
2015-01-27,P-043,0.0
2015-01-27,P-040,0.0
2015-01-27,P-109,1.0
2015-01-27,P-007,0.0
2015-01-27,P-023,0.0
2015-01-27,P-103,0.0
2015-01-27,P-019,0.0
2015-01-27,P-041,0.0
2015-01-27,P-113,0.0
2015-01-27,P-047,0.0
2015-01-27,P-049,0.0
2015-01-27,P-062,0.0
2015-01-27,P-045,0.0
2015-01-27,P-067,0.0
